org.springframework.samples.petclinic.web.PetController,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,org.springframework.samples.petclinic.repository.OwnerRepository,10.0
org.springframework.samples.petclinic.service.ClinicServiceImpl,org.springframework.samples.petclinic.repository.VisitRepository,20.0
org.springframework.samples.petclinic.model.NamedEntity,org.springframework.samples.petclinic.model.NamedEntity,5.0
org.springframework.samples.petclinic.repository.jpa.JpaVetRepositoryImpl,org.springframework.samples.petclinic.repository.VetRepository,100.0
org.springframework.samples.petclinic.web.VisitControllerTests,org.springframework.samples.petclinic.web.VisitController,10.0
org.springframework.samples.petclinic.repository.jpa.JpaVisitRepositoryImpl,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.samples.petclinic.web.VisitControllerTests,org.springframework.samples.petclinic.service.ClinicService,15.0
org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,org.springframework.samples.petclinic.model.Pet,5.0
org.springframework.samples.petclinic.model.Pet,org.springframework.samples.petclinic.model.Pet,10.0
org.springframework.samples.petclinic.model.Pet,org.springframework.samples.petclinic.model.Visit,15.0
org.springframework.samples.petclinic.web.PetTypeFormatterTests,org.springframework.samples.petclinic.web.PetTypeFormatter,15.0
org.springframework.samples.petclinic.web.PetController,org.springframework.samples.petclinic.model.Pet,5.0
org.springframework.samples.petclinic.repository.jpa.JpaOwnerRepositoryImpl,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.samples.petclinic.web.VetControllerTests,org.springframework.samples.petclinic.model.Person,20.0
org.springframework.samples.petclinic.web.VetController,org.springframework.samples.petclinic.model.Vets,10.0
org.springframework.samples.petclinic.service.AbstractClinicServiceTests,org.springframework.samples.petclinic.model.Owner,50.0
org.springframework.samples.petclinic.model.ValidatorTests,org.springframework.samples.petclinic.model.Person,15.0
org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,org.springframework.samples.petclinic.model.BaseEntity,15.0
org.springframework.samples.petclinic.model.Pet,org.springframework.samples.petclinic.model.NamedEntity,100.0
org.springframework.samples.petclinic.web.PetController,org.springframework.samples.petclinic.model.Owner,20.0
org.springframework.samples.petclinic.web.PetValidator,org.springframework.samples.petclinic.model.Pet,10.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetVisitExtractor,org.springframework.samples.petclinic.repository.jdbc.JdbcPetRowMapper,5.0
org.springframework.samples.petclinic.repository.jdbc.JdbcVisitRowMapper,org.springframework.samples.petclinic.model.Visit,15.0
org.springframework.samples.petclinic.web.PetControllerTests,org.springframework.samples.petclinic.model.PetType,5.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,org.springframework.samples.petclinic.model.NamedEntity,5.0
org.springframework.samples.petclinic.web.VetControllerTests,org.springframework.samples.petclinic.model.Vet,15.0
org.springframework.samples.petclinic.model.Specialty,org.springframework.samples.petclinic.model.NamedEntity,100.0
org.springframework.samples.petclinic.web.VisitController,org.springframework.samples.petclinic.service.ClinicService,20.0
org.springframework.samples.petclinic.model.Person,org.springframework.samples.petclinic.model.BaseEntity,100.0
org.springframework.samples.petclinic.model.Vet,org.springframework.samples.petclinic.model.Vet,15.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRowMapper,org.springframework.samples.petclinic.model.NamedEntity,5.0
org.springframework.samples.petclinic.repository.jpa.JpaPetRepositoryImpl,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.samples.petclinic.web.PetControllerTests,org.springframework.samples.petclinic.model.NamedEntity,5.0
org.springframework.samples.petclinic.model.Vets,org.springframework.samples.petclinic.model.Vet,10.0
org.springframework.samples.petclinic.model.PetType,org.springframework.samples.petclinic.model.NamedEntity,100.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,org.springframework.samples.petclinic.repository.PetRepository,100.0
org.springframework.samples.petclinic.web.OwnerControllerTests,org.springframework.samples.petclinic.model.Person,15.0
org.springframework.samples.petclinic.web.VetControllerTests,org.springframework.samples.petclinic.web.VetController,10.0
org.springframework.samples.petclinic.model.Pet,org.springframework.samples.petclinic.model.PetType,10.0
org.springframework.samples.petclinic.web.OwnerController,org.springframework.samples.petclinic.service.ClinicService,25.0
org.springframework.samples.petclinic.repository.jdbc.JdbcVisitRowMapper,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.samples.petclinic.web.OwnerControllerTests,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRowMapper,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.dao.NonTransientDataAccessException,org.springframework.dao.DataAccessException,100.0
org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,org.springframework.samples.petclinic.model.Owner,5.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,5.0
org.springframework.samples.petclinic.repository.springdatajpa.SpringDataPetRepository,org.springframework.samples.petclinic.repository.PetRepository,100.0
org.springframework.samples.petclinic.model.Owner,org.springframework.samples.petclinic.model.Person,110.0
org.springframework.samples.petclinic.web.PetController,org.springframework.samples.petclinic.service.ClinicService,30.0
org.springframework.samples.petclinic.web.OwnerController,org.springframework.samples.petclinic.model.Owner,10.0
org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,15.0
org.springframework.samples.petclinic.model.Vet,org.springframework.samples.petclinic.model.Person,100.0
org.springframework.samples.petclinic.web.VetControllerTests,org.springframework.samples.petclinic.service.ClinicService,15.0
org.springframework.samples.petclinic.repository.jdbc.JdbcVetRepositoryImpl,org.springframework.samples.petclinic.model.Vet,5.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPet,org.springframework.samples.petclinic.model.Pet,100.0
org.springframework.samples.petclinic.repository.jdbc.JdbcVetRepositoryImpl,org.springframework.samples.petclinic.repository.VetRepository,100.0
org.springframework.samples.petclinic.repository.jpa.JpaVisitRepositoryImpl,org.springframework.samples.petclinic.repository.VisitRepository,100.0
org.springframework.samples.petclinic.service.AbstractClinicServiceTests,org.springframework.samples.petclinic.service.ClinicService,75.0
org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,org.springframework.samples.petclinic.repository.jdbc.JdbcPet,5.0
org.springframework.samples.petclinic.service.ClinicServiceJdbcTests,org.springframework.samples.petclinic.service.AbstractClinicServiceTests,100.0
org.springframework.samples.petclinic.model.Visit,org.springframework.samples.petclinic.model.BaseEntity,100.0
org.springframework.samples.petclinic.web.PetController,org.springframework.samples.petclinic.web.PetValidator,5.0
org.springframework.samples.petclinic.web.PetControllerTests,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.samples.petclinic.service.AbstractClinicServiceTests,org.springframework.samples.petclinic.model.Person,35.0
org.springframework.samples.petclinic.util.CallMonitoringAspect,org.springframework.util.StopWatch,20.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,org.springframework.samples.petclinic.model.BaseEntity,25.0
org.springframework.samples.petclinic.web.PetValidator,org.springframework.samples.petclinic.model.BaseEntity,5.0
org.springframework.samples.petclinic.web.OwnerControllerTests,org.springframework.samples.petclinic.model.Owner,35.0
org.springframework.dao.EmptyResultDataAccessException,org.springframework.dao.IncorrectResultSizeDataAccessException,100.0
org.springframework.samples.petclinic.web.VetControllerTests,org.springframework.samples.petclinic.model.BaseEntity,15.0
org.springframework.samples.petclinic.web.VetControllerTests,org.springframework.samples.petclinic.model.NamedEntity,5.0
org.springframework.samples.petclinic.web.PetController,org.springframework.util.StringUtils,5.0
org.springframework.samples.petclinic.repository.springdatajpa.SpringDataVetRepository,org.springframework.samples.petclinic.repository.VetRepository,100.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,org.springframework.samples.petclinic.model.Pet,15.0
org.springframework.samples.petclinic.web.PetTypeFormatterTests,org.springframework.samples.petclinic.service.ClinicService,20.0
org.springframework.samples.petclinic.repository.jpa.JpaOwnerRepositoryImpl,org.springframework.samples.petclinic.repository.OwnerRepository,100.0
org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,org.springframework.samples.petclinic.repository.OwnerRepository,100.0
org.springframework.samples.petclinic.web.PetControllerTests,org.springframework.samples.petclinic.service.ClinicService,25.0
